PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA
581,"RUE ST-PATRICK, RUE CENTRE FL.2 - RUE ATWATER FL.1","GG-KE"
582,"RUE ATWATER FL.1 - RUE ST-PATRICK, RUE CENTRE FL.2","GG-KF"
583,"TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.5","GG-KG"
584,"TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.3","GG-KH"
585,"TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.2","GG-KI"
586,"RUE CENTRE, PONT VICTORIA, RUE CHARLEVOIX FL.3","GG-KJ"
587,"TUNNEL ATWATER, RUE NOTRE-DAME FL.2-PONT CHAMPLAIN FL.1","GG-KK"
588,"RUE ST-PATRICK FL.3-TUNNEL ATWATER, RUE NOTRE-DAME FL.5","GG-KL"
589,"RUE CENTRE,RUE WELLING.FL.1-PONT CHAMP.FL.3-VERDUN FL.2","GG-KM"
590,"RUE NOTRE-DAME FL.3-RUE CENTRE,RUE WELLINGTON FL.2-PONT","GG-KN"
591,"RUE NOTRE-DAME FL.1-PONT VIC. FL.3-PONT CHAMPLAIN FL.2","GG-KO"
593,"RUE WELLINGTON,RUE CENTRE,PONT CHAMPLAIN FL.3-PONT VIC.","GG-KQ"
595,"TUNNEL ST-REMI, RUE EGLISE, RUE ST-PARTICK FL.1-BL.MONK","GG-KS"
596,"TUNNEL ST-REMI, RUE EGLISE, RUE ST-PATRICK FL.2-BL.MONK","GG-KT"
597,"TUNNEL ST-REMI,RUE EGLISE,RUE ST-PAT. FL.3 RUE ATWATER","GG-KU"
598,"RUE EGLISE, RUE ST-PATRICK, BL. MONK FL.1","GG-KV"
599,"RUE ST-PATRICK, BL. MONK FL.3 - DE LA VERENDRYE FL.2","GG-KW"
602,"TUNNEL ST-REMI FL.2 - DE LA VERENDRYE, VERDUN FL.1","GG-KZ"
603,"BL. MONK FL.1 - RUE NOTRE-DAME FL.3 - VERENDRYE FL.2","GG-LA"
605,"RUE ATWATER FL.3 - RUE WELLINGTON, RUE ST-PATRICK FL.1","GG-LC"
606,"RUE ATWATER FL.1 - RUE WELLINGTON, RUE ST-PATRICK FL.2","GG-LD"
608,"RUE LAFONTAINE-FL4,AV.PAPINEAU-FL4,PONT J.-CARTIER-FL5","GG-LF"
609,"TUNNEL ATWATER FL4, RUE CENTRE FL5, RUE ST-PATRICK FL1","GG-LG"
615,"ANNULE-FL.4, UPPER LACHINE, ST-JACQUES, DE MAISONNEUVE, FL.1","GH-F"
618,"BOUL. SAINT-JEAN-BAPTISTE  (PRE-SIGNAL NOM DE RUE)","GK-A"
620,"BOUL. M.-DUPLESSIS  -  OUEST FL. 3  -  EST FL. 2","GK-C"
622,"RUE ARTHUR-LEVEILLE  EST      * = FLECHE","GK-E-*"
625,"BOUL. A.-BOMBARDIER FL.2   -   BOUL. RAY-LAWSON FL.3","GK-H"
626,"BOUL. A.-BOMBARDIER FL.3   -   BOUL. RAY-LAWSON FL.2","GK-I"
627,"RODOLPHE-FORGET NORD  FL.2  (SUD FL.3  A VENIR)","GK-J"
628,"RODOLPHE-FORGET NORD  FL.3  (SUD FL.2  A VENIR)","GK-K"
629,"BOUL. R.-DES-PRAIRIES FL. 2   -   AV. BRODWAY NORD FL. 3","GK-L"
630,"BOUL. R.-DES-PRAIRIES FL. 3   -   AV. BRODWAY NORD FL. 2","GK-M"
632,"AV. MARIEN SUD   FLECHE 3   (NORD FL. 2  A VENIR)","GK-O"
633,"BOUL. ST-JEAN-BAPTISTE - SUD FL. 2 - NORD FL. 3","GK-P"
634,"BOUL. ST-JEAN-BAPTISTE - SUD FL. 3 - NORD FL. 2","GK-Q"
636,"BOUL. H.-BOURASSA  -  OUEST FL. 3  -  EST FL. 2","GK-S"
637,"ANNULE-FLECHE 1, BOUL. ROSEMONT, EST","GL-A"
643,"ANNULE-ROUTE 40, EST FLECHE 22","GL-H"
644,"ANNULE-ROUTE 40, OUEST, FLECHE 22","GL-H-1"
647,"ANNULE-NORD, FLECHE 22","GL-I-1"
664,"ANNULE-FLECHE 1, AV. DES PINS, OUEST - AV. DU PARC, NORD, FL.5","GN-B"
668,"ACHEMINEMENT PIETON RUE ST-ANTOINE","GP-B"
669,"ACHEMINEMENT PIETON BOUL. RENE-LEVESQUE","GP-C"
672,"ACHEMINEMENT PIETON AVE. DU PARC","GP-F"
673,"ACHEMINEMENT PIETON AVE. DES PINS EST","GP-G"
674,"ACHEMINEMENT PIETON AVE. DES PINS OUEST","GP-H"
676,"ACHEMINEMENT POUR FAUTEUIL ROULANT","GP-J-*"
677,"PANONCEAU  IMPASSE  (A UTILISER AVEC GP-J)","GP-K-*"
679,"ACHEMINEMENT PATIN A ROUES ALIGNEES    *=FLECHE","GP-M-*"
681,"ACHEMINEMENT PIETON AVENUE PAPINEAU","GP-O-*"
682,"ACHEMINEMENT PIETON RUE DANDURAND","GP-P-*"
683,"CUL-DE-SAC","GQ-A"
684,"CUL-DE-SAC      (AVEC FLECHE)","GQ-AB-*"
685,"RUE BARREE DETOUR ORANGE","GQ-B-01"
686,"RUE BARREE DETOUR ORANGE","GQ-B-02"
687,"RUE BARREE DETOUR ORANGE","GQ-B-03"
690,"DANGER PONT BARRE ORANGE","GQ-B-07"
693,"CLSC","GQ-C"
694,"ARRETEZ AU FEU ROUGE APRES VIRAGE","GQ-D"
695,"ATTENTION - NOUVELLE SYNCHRONISATION DES FEUX","GQ-E"
696,"ANNULE-VIRAGE PROTEGE AU CLIGNOTEMENT DU FEUX VERT-REMPLACE GQ-FA","GQ-F"
697,"DEMI-TOUR AUTORISE","GQ-G"
698,"HOPITAL","GQ-H"
699,"ANNULE-FL. 2 - VILLE DE MTL - ENCAN","GQ-I"
702,"HOPITAL","GQ-K"
703,"HOPITAL","GQ-L"
704,"HOPITAL","GQ-M"
707,"HOPITAL","GQ-S"
708,"HOPITAL","GQ-T"
714,"TERRASSE MAISONNEUVE, \P 09h-20h, LUN. AU VEN.","GR-AA"
717,"PARKING","GS-A"
718,"PARKING","GS-A-01"
723,"RAPPEL...","GS-A-06"
724,"STATIONNEMENT PAYANT...","GS-A-07"
733,"P HOTEL DE VILLE, FLECHE A GAUCHE","GS-A-16"
734,"P HOTEL DE VILLE, FLECHE A DROITE","GS-A-17"
736,"ATTENTION - SECTION DE RUES RESERVEES AUX RESIDENTS ...","GS-AA"
737,"PARKING - LOGO DE LA VILLE DE MONTREAL - NO. DU TERRAIN","GS-AB-*"
738,"ATTENTION - STATIONNEMENT PAYANT - NOUVELLE REGLEMENTATION","GS-AC"
739,"PARKING","GS-B"
740,"PARKING","GS-C"
741,"FL. 2 - POSTE D'ATTENTE","GS-D-3"
742,"POSTE D'ATTENTE - FL. 3","GS-D-4"
743,"POSTE D'ATTENTE, FL. 1, SYMBOLE METRO","GS-D-5"
768,"PARKING","GS-P"
769,"PARKING","GS-Q"
783,"SORTIE","GS-V"
784,"PARKING - NO. DU TERRAIN - FLECHE DE DIRECTION","GS-W-*"
786,"ANNULE-ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBIL., P, FL. 3","GS-Y-1"
787,"ANNULE-P, FL. 2, ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBILL.","GS-Y-2"
788,"ANNULE-P, FL. 1, ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBILL.","GS-Y-3"
789,"ANNULE-SIGN. TOURISTIQUE - POLES ET ATTRAITS (LISTE ANNEXE)","GT-***-*-1"
792,"ANNULE - REMPLACE PAR GT-***-*","GT-A-10"
794,"ANNULE-PANONCEAU POUR PANNEAUX TOURISTIQUES","GT-B-10"
796,"ANNULE-PANONCEAU INFOTOURISTE CENTRE-VILLE","GT-D"
799,"ANNULE-PANONCEAU INFOTOURISTE VIEUX-MTL","GT-E-10"
800,"ANNULE-EGLISE NOTRE-DAME","GT-F-10"
